id,cost,description,maintanance_company,repairment_company,work_type,year,street_name_geocode,Latitude,Longitude
1,583420,Утеплення торців,ОСББ «Мрія-2006»,ФОП Денчик  В.О,Термомодернізація,2015,"Україна, Тернопіль, вул.Лисенка 6",49.5566633,25.6029057
2,172680,Утеплення торців,ПП «Східний масив»,ФОП Денчик  В.О,Термомодернізація,2015,"Україна, Тернопіль, бул.Д.Галицького 16",49.5456136,25.6263153
3,299060,Утеплення будинку,ПП «Тернопількомсервіс»,ФОП Гойда В.П.,Термомодернізація,2015,"Україна, Тернопіль, вул.Текстильна 2",49.5633346,25.6114798
4,239030,Встановлення ІТП,"ОСББ «Лукяновича, 1»",ТОВ «Сахара»,Термомодернізація,2015,"Україна, Тернопіль, вул.Лук’яновича 1",49.5730354,25.5895341
5,206180,Утеплення будинку,ОСББ «Монтажник»,ФОП Гойда В.П.,Термомодернізація,2015,"Україна, Тернопіль, вул.Лучаківського 12",49.5436888,25.5582001
6,11960,Заміна вікон,"ОСББ «Горбачевського,2а»",ПП «Східний масив»,Термомодернізація,2015,"Україна, Тернопіль, вул.Горбачевського 2а",49.5592683,25.59378
7,36720,Заміна вікон,"ОСББ «Злуки, 59»",ТОВ «Панорама»,Термомодернізація,2015,"Україна, Тернопіль, пр.Злуки 59",49.5578451,25.6386154
8,38580,Заміна вікон,ПП «Благоустрій»,ФОП Бойко Е.П.,Термомодернізація,2015,"Україна, Тернопіль, вул.Київська 10",49.5629272,25.6376388
9,106580,Утеплення торців,ТОВ «Мрія»,ФОП Гойда В.П.,Термомодернізація,2015,"Україна, Тернопіль, вул.Оболоня 19",49.5416448,25.597439
10,69400,Заміна вікон,ОСББ «Квітневе»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.15 Квітня  29",49.5648009,25.6484073
11,105050,Заміна вікон та освітлення,ПП «Люкс»,"ТОВ «Венкон Інвест""",Термомодернізація,2016,"Україна, Тернопіль, вул.Б. Лепкого  11",49.5622916,25.6338557
12,253190,Утеплення стін,"ОСББ «Хмельницького,21а»",ФОП «Плекан М.В.,Термомодернізація,2016,"Україна, Тернопіль, вул.Б. Хмельницького  21А",49.5542535196,25.5984476209
14,528040,Встановлення ІТП,ПП «Люкс»,ТОВ «Сахара»,Термомодернізація,2016,"Україна, Тернопіль, вул.Бродівська  50",49.5739157532,25.5888748169
15,1087520,Утеплення стін,ОСББ «Імідж 1»,ТОВ «Ферозіт»,Термомодернізація,2016,"Україна, Тернопіль, вул.В. Великого 1",49.5693916342,25.6378626823
16,441090,Ремонт теплових мереж,ПП «Тернопількомсервіс»,ПП «Тепло Серсвіс Якість»,Термомодернізація,2016,"Україна, Тернопіль, вул.Збаразька  37",49.5626015861,25.6081840396
17,352790,Утеплення стін,"ОСББ «Карпенка, 4а»","ФОП ""Плекан М.В.",Термомодернізація,2016,"Україна, Тернопіль, вул.Карпенка  4А",49.5410315301,25.5773842335
18,15010,Заміна вікон,ПП «Благоустрій»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.вул. Київська  10",49.5629272,25.6376388
19,69330,Заміна вікон,ОСББ «Монтажник»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.Лучаківського  12А",49.5439335,25.558334
20,146000,Утеплення стін,"ГТОВ ""МРІЯ""",ФОП Плекан М.В.,Термомодернізація,2016,"Україна, Тернопіль, вул.Оболоня  11",49.5425375,25.597053
21,116660,Утеплення стін,"ОСББ «Підкови, 10»",ФОП Плекан М.В.,Термомодернізація,2016,"Україна, Тернопіль, вул.Підкови  10",49.5485275515,25.6077522039
22,157440,Утеплення стін,"ОСББ «Підкови, 6»",ФОП «Плекан М.В.,Термомодернізація,2016,"Україна, Тернопіль, вул.Підкови  6",49.5483857,25.6074179
23,169340,Утеплення стін,ПП «Східний масив»,ФОП Іващук В.П.,Термомодернізація,2016,"Україна, Тернопіль, вул.Руська  35",49.551303,25.5971537
24,99610,Утеплення покрівлі,"ОСББ «Будного, 20»",ПП Рудніцкий А.М.,Термомодернізація,2016,"Україна, Тернопіль, вул.С. Будного  20",49.5401889585,25.5792322755
25,80580,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.Тарнавського  22",49.5637591,25.6337683
26,74450,Заміна вікон,ТОВ «КомЕнерго-Тернопіль»,ТОВ «ТМПК»,Термомодернізація,2016,"Україна, Тернопіль, вул.Тарнавського  24",49.5643975,25.6342169
